PROVINCIAS;CAMIONES;FURGONETAS;AUTOBUSES;TURISMOS;MOTOCICLETAS;TRACTORES
Araba/Álava;14473;14749;538;158049;16011;1334
Albacete;28809;21770;418;191601;25960;3438
Alicante/Alacant;99962;78036;1646;998654;152164;5886
Almeria;56243;40275;831;361888;44574;8174
Avila;12540;13101;111;88794;9062;1023
Badajoz;35384;42484;758;372144;33717;3945
Balears (Illes);87547;56770;2733;722905;142291;2069
Barcelona;236240;247076;6495;2476810;637531;16168
Burgos;18632;19224;478;190575;17477;3245
Caceres;32741;28679;606;217717;21301;1577
Cadiz;55407;36798;1100;572171;102634;3099
Castellon/Castello;39254;32659;525;309002;40277;4406
Ciudad Real;36940;32180;526;247965;24894;4603
Cordoba;41215;50352;732;376441;53604;3268
Coruña (A);48355;37634;1661;618356;52301;4959
Cuenca;20181;16489;370;111625;11689;3950
Girona;50924;62487;1176;412092;92801;3517
Granada;53736;57925;1261;463643;94663;4053
Guadalajara;12914;17124;239;138661;15865;1501
Gipuzkoa;32485;29744;978;325642;60553;3224
Huelva;31932;19506;750;250771;27189;2494
Huesca;20196;17322;378;117150;14074;1936
Jaen;44080;63710;578;293160;38360;3292
Leon;27760;30585;644;258838;26686;2869
Lleida;35871;28633;522;228628;31358;4742
Rioja (La);20603;17458;263;147630;16633;1697
Lugo;19550;23525;1203;200604;17121;3193
Madrid;260658;394281;11040;3759902;364437;27669
Malaga;85600;88354;1931;829795;158548;4972
Murcia;86380;66871;1882;759531;111279;13712
Navarra;37799;39010;849;326338;35386;4612
Ourense;20040;18917;617;186161;16776;2036
Asturias;40402;46942;1455;516400;57057;4201
Palencia;8266;9359;266;92436;8608;1474
Palmas (Las);117072;68289;3026;591088;66663;2522
Pontevedra;46941;36147;1261;533898;72408;4530
Salamanca;18784;16266;517;174235;16627;1509
Santa Cruz de Tenerife;110661;73957;2950;559548;64794;2140
Cantabria;31120;25170;633;305540;39225;3607
Segovia;11837;10174;314;89295;8586;1329
Sevilla;94684;55556;2111;932835;135689;8593
Soria;6561;7405;106;49066;4849;1085
Tarragona;51480;48810;1168;409999;73014;3567
Teruel;12325;12166;93;73581;8254;1821
Toledo;51699;42047;765;384094;33603;4382
Valencia/València;138642;87580;2428;1259581;194339;14606
Valladolid;22939;17150;617;265268;30192;3140
Bizkaia;47184;38631;1959;519061;55387;3529
Zamora;11642;11832;233;100301;9742;1133
Zaragoza;41020;41041;1039;417819;54296;5928
Ceuta;2492;5173;63;41570;12442;75
Melilla;4191;9095;62;45293;6731;108
